"DRD350JQ.Code.or.Value","DRD350JQ.Value.Description","DRD350JQ.Count","DRD350JQ.Cumulative","DRD350JQ.Skip.to.Item"
"1 to 12","Range of Values",12,12,NA
".","Missing",8692,8704,NA
