"DR1TPFAT.Code.or.Value","DR1TPFAT.Value.Description","DR1TPFAT.Count","DR1TPFAT.Cumulative","DR1TPFAT.Skip.to.Item"
"0 to 200.697","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
