"DTQ210U.Code.or.Value","DTQ210U.Value.Description","DTQ210U.Count","DTQ210U.Cumulative","DTQ210U.Skip.to.Item"
"1","Day",94,94,NA
"2","Week",895,989,NA
"3","Month",1875,2864,NA
"7","Refused",4,2868,NA
"9","Don't know",7,2875,NA
".","Missing",5666,8541,NA
