"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 1.73","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
