"DSQTFDFE.Code.or.Value","DSQTFDFE.Value.Description","DSQTFDFE.Count","DSQTFDFE.Cumulative","DSQTFDFE.Skip.to.Item"
"2 to 27200","Range of Values",2335,2335,NA
".","Missing",6919,9254,NA
