"DR1IATOC.Code.or.Value","DR1IATOC.Value.Description","DR1IATOC.Count","DR1IATOC.Cumulative","DR1IATOC.Skip.to.Item"
"0 to 123.02","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
