"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.017 to 237","Range of Values",9848,9848,NA
"777777","Refused",0,9848,NA
"999999","Don't know",4,9852,NA
".","Missing",132,9984,NA
