"DRD370FQ.Code.or.Value","DRD370FQ.Value.Description","DRD370FQ.Count","DRD370FQ.Cumulative","DRD370FQ.Skip.to.Item"
"1 to 20","Range of Values",169,169,NA
".","Missing",8535,8704,NA
