"DR2_330.Code.or.Value","DR2_330.Value.Description","DR2_330.Count","DR2_330.Cumulative","DR2_330.Skip.to.Item"
"0 to 11366.4","Range of Values",8374,8374,NA
".","Missing",1269,9643,NA
