"DS1IZINC.Code.or.Value","DS1IZINC.Value.Description","DS1IZINC.Count","DS1IZINC.Cumulative","DS1IZINC.Skip.to.Item"
"0.00001 to 100","Range of Values",1399,1399,NA
".","Missing",4669,6068,NA
