"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0 to 36.816","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
