"DS2DSCNT.Code.or.Value","DS2DSCNT.Value.Description","DS2DSCNT.Count","DS2DSCNT.Cumulative","DS2DSCNT.Skip.to.Item"
"0 to 18","Range of Values",6629,6629,NA
".","Missing",2075,8704,NA
