"DS2TFA.Code.or.Value","DS2TFA.Value.Description","DS2TFA.Count","DS2TFA.Cumulative","DS2TFA.Skip.to.Item"
"4 to 10000","Range of Values",1412,1412,NA
".","Missing",7292,8704,NA
