"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"1 to 39","Range of Values",6639,6639,NA
".","Missing",2065,8704,NA
