"DS2IPOTA.Code.or.Value","DS2IPOTA.Value.Description","DS2IPOTA.Count","DS2IPOTA.Cumulative","DS2IPOTA.Skip.to.Item"
"0.01 to 2340","Range of Values",684,684,NA
".","Missing",5092,5776,NA
