"DSQIVB2.Code.or.Value","DSQIVB2.Value.Description","DSQIVB2.Count","DSQIVB2.Cumulative","DSQIVB2.Skip.to.Item"
"0.02 to 400","Range of Values",1820,1820,NA
".","Missing",8164,9984,NA
