"DR2IMOIS.Code.or.Value","DR2IMOIS.Value.Description","DR2IMOIS.Count","DR2IMOIS.Cumulative","DR2IMOIS.Skip.to.Item"
"0 to 9590.4","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
