"FFQ0102A.Code.or.Value","FFQ0102A.Value.Description","FFQ0102A.Count","FFQ0102A.Cumulative","FFQ0102A.Skip.to.Item"
1,"Almost never or never",3429,3429,NA
2,"About 1/4 of the time",650,4079,NA
3,"About 1/2 of the time",568,4647,NA
4,"About 3/4 of the time",252,4899,NA
5,"Almost always or always",434,5333,NA
88,"Blank",678,6011,NA
99,"Error",2,6013,NA
