"DRXIVB6.Code.or.Value","DRXIVB6.Value.Description","DRXIVB6.Count","DRXIVB6.Cumulative","DRXIVB6.Skip.to.Item"
"0 to 21.732","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
