"DRXTPFAT.Code.or.Value","DRXTPFAT.Value.Description","DRXTPFAT.Count","DRXTPFAT.Cumulative","DRXTPFAT.Skip.to.Item"
"0 to 201.473","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
