"DS2LOC.Code.or.Value","DS2LOC.Value.Description","DS2LOC.Count","DS2LOC.Cumulative","DS2LOC.Skip.to.Item"
"1","HouseHold Interview",5011,5011,NA
"2","MEC Interview",469,5480,NA
"3","Phone Interview",296,5776,NA
".","Missing",0,5776,NA
