"DS2TPHOS.Code.or.Value","DS2TPHOS.Value.Description","DS2TPHOS.Count","DS2TPHOS.Cumulative","DS2TPHOS.Skip.to.Item"
"6 to 420","Range of Values",502,502,NA
".","Missing",8202,8704,NA
