"DS2TVD.Code.or.Value","DS2TVD.Value.Description","DS2TVD.Count","DS2TVD.Cumulative","DS2TVD.Skip.to.Item"
"0.63 to 2575","Range of Values",1803,1803,NA
".","Missing",6901,8704,NA
