"DS2IIRON.Code.or.Value","DS2IIRON.Value.Description","DS2IIRON.Count","DS2IIRON.Cumulative","DS2IIRON.Skip.to.Item"
"0.08 to 195","Range of Values",702,702,NA
".","Missing",5074,5776,NA
