"DRD350AQ.Code.or.Value","DRD350AQ.Value.Description","DRD350AQ.Count","DRD350AQ.Cumulative","DRD350AQ.Skip.to.Item"
"1 to 24","Range of Values",356,356,NA
".","Missing",8348,8704,NA
