"DR2TVARA.Code.or.Value","DR2TVARA.Value.Description","DR2TVARA.Count","DR2TVARA.Cumulative","DR2TVARA.Skip.to.Item"
"0 to 20875","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
