"FFQ0059A.Code.or.Value","FFQ0059A.Value.Description","FFQ0059A.Count","FFQ0059A.Cumulative","FFQ0059A.Skip.to.Item"
1,"Almost never or never",402,402,NA
2,"About 1/4 of the time",351,753,NA
3,"About 1/2 of the time",392,1145,NA
4,"About 3/4 of the time",264,1409,NA
5,"Almost always or always",3974,5383,NA
88,"Blank",629,6012,NA
99,"Error",1,6013,NA
