"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"1 to 25550","Range of Values",9845,9845,NA
"7777777","Refused",3,9848,NA
"9999999","Don't know",50,9898,NA
".","Missing",86,9984,NA
