"DR2IFIBE.Code.or.Value","DR2IFIBE.Value.Description","DR2IFIBE.Count","DR2IFIBE.Cumulative","DR2IFIBE.Skip.to.Item"
"0 to 74.2","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
