"DR2IVB1.Code.or.Value","DR2IVB1.Value.Description","DR2IVB1.Count","DR2IVB1.Cumulative","DR2IVB1.Skip.to.Item"
"0 to 10.962","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
