"DSQTNIAC.Code.or.Value","DSQTNIAC.Value.Description","DSQTNIAC.Count","DSQTNIAC.Cumulative","DSQTNIAC.Skip.to.Item"
"0.1 to 1520","Range of Values",1829,1829,NA
".","Missing",7425,9254,NA
