"DSQIIRON.Code.or.Value","DSQIIRON.Value.Description","DSQIIRON.Count","DSQIIRON.Cumulative","DSQIIRON.Skip.to.Item"
"0.0005 to 260","Range of Values",1169,1169,NA
".","Missing",8815,9984,NA
