"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",1002,1002,NA
"2","Day 1 and day 2",6639,7641,NA
".","Missing",1063,8704,NA
