"FFQ0139C.Code.or.Value","FFQ0139C.Value.Description","FFQ0139C.Count","FFQ0139C.Cumulative","FFQ0139C.Skip.to.Item"
3,"Canola/rapeseed",1870,1870,NA
88,"Blank",4143,6013,NA
99,"Error",0,6013,NA
