"DR2TWSZ.Code.or.Value","DR2TWSZ.Value.Description","DR2TWSZ.Count","DR2TWSZ.Cumulative","DR2TWSZ.Skip.to.Item"
"1","Community supply",3989,3989,NA
"4","Don't drink tap water",1794,5783,NA
"91","Other",625,6408,NA
"99","Don't know",306,6714,NA
".","Missing",1990,8704,NA
