"DR2TP182.Code.or.Value","DR2TP182.Value.Description","DR2TP182.Count","DR2TP182.Cumulative","DR2TP182.Skip.to.Item"
"0 to 106.441","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
