"DTQ030U.Code.or.Value","DTQ030U.Value.Description","DTQ030U.Count","DTQ030U.Cumulative","DTQ030U.Skip.to.Item"
"1","Day",3256,3256,NA
"2","Week",1668,4924,NA
"3","Month",1932,6856,NA
"7","Refused",3,6859,NA
"9","Don't know",5,6864,NA
".","Missing",1677,8541,NA
