"DSQITFAT.Code.or.Value","DSQITFAT.Value.Description","DSQITFAT.Count","DSQITFAT.Cumulative","DSQITFAT.Skip.to.Item"
"0.02 to 30","Range of Values",819,819,NA
".","Missing",9165,9984,NA
