"DR1TPHOS.Code.or.Value","DR1TPHOS.Value.Description","DR1TPHOS.Count","DR1TPHOS.Cumulative","DR1TPHOS.Skip.to.Item"
"0 to 7373","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
