"DRXTPOTA.Code.or.Value","DRXTPOTA.Value.Description","DRXTPOTA.Count","DRXTPOTA.Cumulative","DRXTPOTA.Skip.to.Item"
"0 to 16707","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
