"DS1TFIBE.Code.or.Value","DS1TFIBE.Value.Description","DS1TFIBE.Count","DS1TFIBE.Cumulative","DS1TFIBE.Skip.to.Item"
"0.25 to 27","Range of Values",108,108,NA
".","Missing",8596,8704,NA
