"DR1TVB1.Code.or.Value","DR1TVB1.Value.Description","DR1TVB1.Count","DR1TVB1.Cumulative","DR1TVB1.Skip.to.Item"
"0 to 9.996","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
