"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 7.843","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
