"DS1TIODI.Code.or.Value","DS1TIODI.Value.Description","DS1TIODI.Count","DS1TIODI.Cumulative","DS1TIODI.Skip.to.Item"
"0.15 to 12500","Range of Values",1066,1066,NA
".","Missing",7638,8704,NA
