"DRXTBCAR.Code.or.Value","DRXTBCAR.Value.Description","DRXTBCAR.Count","DRXTBCAR.Cumulative","DRXTBCAR.Skip.to.Item"
"0 to 67795","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
