"DS1TCHL.Code.or.Value","DS1TCHL.Value.Description","DS1TCHL.Count","DS1TCHL.Cumulative","DS1TCHL.Skip.to.Item"
"0.005 to 1010","Range of Values",335,335,NA
".","Missing",8369,8704,NA
