"DS2ILZ.Code.or.Value","DS2ILZ.Value.Description","DS2ILZ.Count","DS2ILZ.Cumulative","DS2ILZ.Skip.to.Item"
"50 to 48000","Range of Values",475,475,NA
".","Missing",5301,5776,NA
