"DTQ240U.Code.or.Value","DTQ240U.Value.Description","DTQ240U.Count","DTQ240U.Cumulative","DTQ240U.Skip.to.Item"
"1","Day",400,400,NA
"2","Week",1927,2327,NA
"3","Month",3850,6177,NA
"7","Refused",3,6180,NA
"9","Don't know",7,6187,NA
".","Missing",2354,8541,NA
