"DRXTS060.Code.or.Value","DRXTS060.Value.Description","DRXTS060.Count","DRXTS060.Cumulative","DRXTS060.Skip.to.Item"
"0 to 3.911","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
