"DTD260Q.Code.or.Value","DTD260Q.Value.Description","DTD260Q.Count","DTD260Q.Cumulative","DTD260Q.Skip.to.Item"
"0 to 30","Range of Values",7849,7849,NA
"777","Refused",3,7852,NA
"999","Don't know",2,7854,NA
".","Missing",687,8541,NA
