"DS1TVC.Code.or.Value","DS1TVC.Value.Description","DS1TVC.Count","DS1TVC.Cumulative","DS1TVC.Skip.to.Item"
"2 to 10552","Range of Values",1621,1621,NA
".","Missing",7083,8704,NA
