"DR2TCALC.Code.or.Value","DR2TCALC.Value.Description","DR2TCALC.Count","DR2TCALC.Cumulative","DR2TCALC.Skip.to.Item"
"9 to 7510","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
