"DRXTLZ.Code.or.Value","DRXTLZ.Value.Description","DRXTLZ.Count","DRXTLZ.Cumulative","DRXTLZ.Skip.to.Item"
"0 to 67958","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
