"DRD370V.Code.or.Value","DRD370V.Value.Description","DRD370V.Count","DRD370V.Cumulative","DRD370V.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",4337,4337,NA
".","Missing",4367,8704,NA
