"FFQ0009C.Code.or.Value","FFQ0009C.Value.Description","FFQ0009C.Count","FFQ0009C.Cumulative","FFQ0009C.Skip.to.Item"
1,"Almost never or never",3420,3420,NA
2,"About 1/4 of the time",577,3997,NA
3,"About 1/2 of the time",387,4384,NA
4,"About 3/4 of the time",188,4572,NA
5,"Almost always or always",961,5533,NA
88,"Blank",480,6013,NA
99,"Error",0,6013,NA
