"DR2IPROT.Code.or.Value","DR2IPROT.Value.Description","DR2IPROT.Count","DR2IPROT.Cumulative","DR2IPROT.Skip.to.Item"
"0 to 202.81","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
