"DS1TMFAT.Code.or.Value","DS1TMFAT.Value.Description","DS1TMFAT.Count","DS1TMFAT.Cumulative","DS1TMFAT.Skip.to.Item"
"0.17 to 6","Range of Values",47,47,NA
".","Missing",8657,8704,NA
