"DRDEXMER.Code.or.Value","DRDEXMER.Value.Description","DRDEXMER.Count","DRDEXMER.Cumulative","DRDEXMER.Skip.to.Item"
"16 to 85","Range of Values",10011,10011,NA
".","Missing",466,10477,NA
