"DRD370J.Code.or.Value","DRD370J.Value.Description","DRD370J.Count","DRD370J.Cumulative","DRD370J.Skip.to.Item"
"1","Yes",7,7,""
"2","No",4331,4338,"DRD370K"
".","Missing",4366,8704,""
