"DSQILZ.Code.or.Value","DSQILZ.Value.Description","DSQILZ.Count","DSQILZ.Cumulative","DSQILZ.Skip.to.Item"
"3 to 48000","Range of Values",727,727,NA
".","Missing",9257,9984,NA
