"DR2ILINE.Code.or.Value","DR2ILINE.Value.Description","DR2ILINE.Count","DR2ILINE.Cumulative","DR2ILINE.Skip.to.Item"
"1 to 40","Range of Values",93500,93500,NA
".","Missing",0,93500,NA
