"FFQ0025.Code.or.Value","FFQ0025.Value.Description","FFQ0025.Count","FFQ0025.Cumulative","FFQ0025.Skip.to.Item"
1,"Yes",4770,4770,""
2,"No",976,5746,"FFQ0026"
88,"Blank",265,6011,""
99,"Error",2,6013,""
