"DRQ350EQ.Code.or.Value","DRQ350EQ.Value.Description","DRQ350EQ.Count","DRQ350EQ.Cumulative","DRQ350EQ.Skip.to.Item"
"1 to 10","Range of Values",145,145,NA
".","Missing",9137,9282,NA
