"DS2IMFAT.Code.or.Value","DS2IMFAT.Value.Description","DS2IMFAT.Count","DS2IMFAT.Cumulative","DS2IMFAT.Skip.to.Item"
"0.17 to 6","Range of Values",54,54,NA
".","Missing",5722,5776,NA
